titre|annee|duree|genre|tomatometer|audience_score|url_tomatoes
The Secret in Their Eyes|2009|129|Drama, Mystery, Romance|89|93|https://www.rottentomatoes.com/m/secret_in_their_eyes
Dune|2021|155|Action, Adventure, Drama|82|90|https://www.rottentomatoes.com/m/dune_2021
Shutter Island|2010|138|Mystery, Thriller|68|77|https://www.rottentomatoes.com/m/1198124-shutter_island
Up|2009|96|Animation, Adventure, Comedy|98|90|https://www.rottentomatoes.com/m/up
The Wolf of Wall Street|2013|180|Biography, Comedy, Crime|79|83|https://www.rottentomatoes.com/m/the_wolf_of_wall_street_2013
My Father and My Son|2005|112|Drama, Family||97|https://www.rottentomatoes.com/m/babam-ve-oglum-my-father-and-my-son
There Will Be Blood|2007|158|Drama|91|86|https://www.rottentomatoes.com/m/there_will_be_blood
Pan's Labyrinth|2006|118|Drama, Fantasy, War|95|91|https://www.rottentomatoes.com/m/pans_labyrinth
Toy Story 3|2010|103|Animation, Adventure, Comedy|98|90|https://www.rottentomatoes.com/m/toy_story_3
Batman Begins|2005|140|Action, Adventure|84|94|https://www.rottentomatoes.com/m/batman_begins
Downfall|2004|156|Biography, Drama, History|90|94|https://www.rottentomatoes.com/m/downfall
Howl's Moving Castle|2004|119|Animation, Adventure, Family|87|93|https://www.rottentomatoes.com/m/howls_moving_castle
A Beautiful Mind|2001|135|Biography, Drama|74|93|https://www.rottentomatoes.com/m/beautiful_mind
Lock, Stock and Two Smoking Barrels|1998|107|Action, Comedy, Crime|75|93|https://www.rottentomatoes.com/m/lock_stock_and_two_smoking_barrels
L.A. Confidential|1997|138|Crime, Drama, Mystery|99|94|https://www.rottentomatoes.com/m/la_confidential
The Bandit|1996|121|Crime, Drama, Thriller|||
Heat|1995|170|Crime, Drama, Thriller|87|94|https://www.rottentomatoes.com/m/heat_1995
Casino|1995|178|Crime, Drama|79|93|https://www.rottentomatoes.com/m/1067987-casino
Unforgiven|1992|130|Drama, Western|96|93|https://www.rottentomatoes.com/m/1041911-unforgiven
Indiana Jones and the Last Crusade|1989|127|Action, Adventure|88|94|https://www.rottentomatoes.com/m/indiana_jones_and_the_last_crusade
